ix_id,ixlan_id,proto,prefix
606,606,IPv4,218.100.72.0/23
606,606,IPv6,2001:df0:b1:100::/64
607,607,IPv4,103.17.108.0/23
610,610,IPv4,196.223.30.0/24
610,610,IPv6,2001:43f8:1f2::/64
615,615,IPv4,196.223.2.0/24
624,624,IPv4,206.223.125.0/25
624,624,IPv4,206.223.125.128/25
624,624,IPv6,2001:504:29::/64
626,626,IPv4,103.19.76.0/24
626,626,IPv4,218.100.32.0/24
626,626,IPv6,2001:7fa:2:50ba::/64
627,627,IPv4,206.123.24.0/24
627,627,IPv6,2001:504:28::/48
628,628,IPv4,196.216.216.0/23
628,628,IPv4,196.223.28.0/24
628,628,IPv6,2001:43f8:3c1::/48
633,633,IPv4,91.240.225.0/24
633,633,IPv6,2001:7f8:6f::/64
635,635,IPv4,94.137.48.0/24
635,635,IPv4,94.137.63.0/24
638,638,IPv4,187.16.192.0/24
638,638,IPv6,2001:12f8:0:15::/64
639,639,IPv4,206.126.225.0/24
639,639,IPv6,2001:504:2f::/64
640,640,IPv4,206.123.30.0/24
640,640,IPv6,2001:504:22:30::/64
655,655,IPv4,185.1.62.0/23
655,655,IPv6,2001:7f8:6c::/64
662,662,IPv4,206.41.105.0/24
662,662,IPv6,2001:504:3b::/64
672,672,IPv4,198.32.130.0/24
672,672,IPv6,2001:478:130::/64
673,673,IPv4,198.32.96.0/23
673,673,IPv6,2001:478:96::/64
674,674,IPv4,198.32.145.0/24
674,674,IPv6,2001:478:145::/64
675,675,IPv4,198.32.164.0/24
675,675,IPv6,2001:478:164::/64
676,676,IPv4,62.69.146.0/23
676,676,IPv6,2001:7f8:8:20::/64
683,683,IPv4,91.203.127.0/24
683,683,IPv6,2001:7f8:77::/64
691,691,IPv4,218.100.54.0/25
691,691,IPv6,2001:7fa:11:3::/64
694,694,IPv4,196.201.2.0/24
694,694,IPv6,2001:43f8:ae0::/48
699,699,IPv4,185.1.226.0/23
699,699,IPv4,193.218.0.0/24
699,699,IPv6,2001:67c:29f0::/64
703,703,IPv4,206.72.208.0/24
703,703,IPv6,2001:504:26::/64
705,705,IPv4,200.219.147.0/24
705,705,IPv6,2001:12f8:0:10::/64
706,706,IPv4,187.16.194.0/24
706,706,IPv6,2001:12f8:0:17::/64
707,707,IPv4,187.16.198.0/24
707,707,IPv6,2001:12f8:0:21::/64
708,708,IPv4,187.16.196.0/24
708,708,IPv6,2001:12f8:0:19::/64
709,709,IPv4,187.16.199.0/24
709,709,IPv6,2001:12f8:0:22::/64
710,710,IPv4,45.184.144.0/22
710,710,IPv6,2001:12f8:0:9::/64
711,711,IPv4,187.16.195.0/24
711,711,IPv6,2001:12f8:0:18::/64
713,713,IPv4,91.213.211.0/24
713,713,IPv6,2001:7f8:7f::/64
716,716,IPv4,218.100.52.0/23
716,716,IPv6,2001:7fa:11:4::/64
727,727,IPv4,196.223.27.0/24
727,727,IPv4,196.49.72.0/24
727,727,IPv6,2001:43f8:13a0::/64
727,727,IPv6,2001:43f8:380::/64
745,745,IPv4,195.66.246.0/24
745,745,IPv6,2001:7f8:4:3::/64
760,760,IPv4,198.32.98.0/24
760,760,IPv6,2001:478:98::/64
762,762,IPv4,185.1.18.0/24
762,762,IPv6,2001:67c:2b9c::/48
766,766,IPv4,193.34.203.0/25
766,766,IPv6,2001:7f8:55::/64
776,776,IPv4,206.126.109.0/24
776,776,IPv6,2001:504:2c::/116
777,777,IPv4,206.55.196.0/23
777,777,IPv6,2001:504:31::/64
778,778,IPv4,93.159.151.0/24
779,779,IPv4,103.26.71.0/24
779,779,IPv6,2001:dea:0:30::/64
780,780,IPv4,103.26.68.0/23
780,780,IPv6,2001:dea:0:10::/64
781,781,IPv4,103.26.70.0/24
781,781,IPv6,2001:dea:0:20::/64
786,786,IPv4,218.100.9.0/24
786,786,IPv6,2001:de8:c:2::/64
790,790,IPv4,187.16.202.0/24
790,790,IPv6,2001:12f8:0:25::/64
796,796,IPv4,185.1.35.0/24
796,796,IPv6,2001:7f8:92::/64
804,804,IPv4,206.82.104.0/22
804,804,IPv6,2001:504:36::/64
809,809,IPv4,206.126.235.0/26
809,809,IPv6,2001:504:33::/64
810,810,IPv4,196.223.4.0/24
810,810,IPv4,196.49.0.0/24
810,810,IPv6,2001:43f8:940::/48
815,815,IPv4,91.230.65.0/24
818,818,IPv4,187.16.201.0/24
818,818,IPv6,2001:12f8:0:24::/64
822,822,IPv4,185.1.81.0/24
822,822,IPv6,2001:7f8:ac:142::/64
823,823,IPv4,203.163.222.0/24
